,start_date,station_id,station_cap,station_has_kiosk,trip_count_out,trip_count_in,trip_count_net,trip_count_net_prev7,trip_count_net_prev14,trip_count_net_prev21,trip_count_net_prev28,trip_count_net_7d_mean,trip_count_net_7d_mean_all,trip_count_net_weekly_mean,start_period_afternoon,start_period_evening,start_period_morning,start_period_overnight,station_cluster_0,station_cluster_1,station_cluster_2,station_cluster_3,station_cluster_4,station_cluster_5,station_cluster_6,station_cluster_7,station_cluster_8,start_dow_Friday,start_dow_Monday,start_dow_Saturday,start_dow_Sunday,start_dow_Thursday,start_dow_Tuesday,start_dow_Wednesday,trip_count_predicted
94028,2019-03-01 00:00:00+00:00,55,27,True,4.0,12.0,8.0,2.0,-3.0,0.0,-2.0,2.6666666666666665,-1.25,-0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.0
94029,2019-03-01 00:00:00+00:00,56,27,True,8.0,7.0,-1.0,9.0,3.0,2.0,1.0,2.0,-1.6,3.75,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.0
94030,2019-03-01 00:00:00+00:00,58,31,True,90.0,64.0,-26.0,-11.0,-6.0,-1.0,3.0,0.8333333333333334,1.5833333333333333,-3.75,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-2.0
94031,2019-03-01 00:00:00+00:00,59,27,True,23.0,14.0,-9.0,-6.0,-7.0,-7.0,-2.0,-6.833333333333333,-0.8,-5.5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-6.0
94032,2019-03-01 00:00:00+00:00,60,30,True,19.0,15.0,-4.0,11.0,1.0,-2.0,-2.0,-0.8333333333333334,-0.5909090909090909,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
94033,2019-03-01 00:00:00+00:00,61,27,True,24.0,31.0,7.0,7.0,1.0,3.0,-4.0,-0.8333333333333334,-0.35,1.75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
94034,2019-03-01 00:00:00+00:00,62,15,True,10.0,17.0,7.0,9.0,3.0,1.0,1.0,4.333333333333333,-0.22727272727272727,3.5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.0
94035,2019-03-01 00:00:00+00:00,63,19,True,4.0,4.0,0.0,-3.0,-1.0,0.0,-1.0,-1.3333333333333333,0.9444444444444444,-1.25,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-2.0
94036,2019-03-01 00:00:00+00:00,64,27,True,16.0,5.0,-11.0,-11.0,-4.0,-9.0,-9.0,-3.8333333333333335,0.08695652173913043,-8.25,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.0
94037,2019-03-01 00:00:00+00:00,66,39,True,28.0,20.0,-8.0,-15.0,-9.0,0.0,-4.0,-9.333333333333334,-1.125,-7.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-9.0
94038,2019-03-01 00:00:00+00:00,67,23,True,37.0,107.0,70.0,110.0,58.0,57.0,38.0,62.833333333333336,12.227272727272727,65.75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,68.0
94039,2019-03-01 00:00:00+00:00,70,31,True,11.0,15.0,4.0,0.0,4.0,2.0,2.0,1.8333333333333333,-1.875,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.0
94040,2019-03-01 00:00:00+00:00,71,27,True,8.0,10.0,2.0,5.0,4.0,2.0,-1.0,1.1666666666666667,-2.0952380952380953,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.0
